,title,post_link,glance,offer,fee
10,Bank OZK $250 Checking Bonus,https://www.doctorofcredit.com/al-ar-ca-fl-ga-ms-nc-ny-sc-tn-tx-in-branch-ymmv-only-bank-ozk-250-checking-bonus/,"Maximum bonus amount: $250
Availability: AR & NC In branch only. Not available at all branches [Branch locator]
Direct deposit required: Yes, $2,000+
Additional requirements: None
Hard/soft pull: Unknown
ChexSystems: Unknown
Credit card funding: Unknown
Monthly fees: None
Early account termination fee: None
Household limit: Unknown
Expiration date: None listed","Bank OZK is offering a bonus of $250 when you open a new checking account and complete the following requirements:
Receive $2,000 in direct deposits within 120 days of account opening",They offer a free checking account with no monthly feesI wasn’t able to find an early account termination fee in the fee scheduleNeed to know if it’s a hard or soft pull and how many of the branches this is actually available at. Please share your experiences and datapoints in the comments below.Useful posts regarding bank bonuses:
11,Hancock Whitney Bank $300 Checking Bonus,https://www.doctorofcredit.com/la-ms-fl-al-tx-hancock-whitney-bank-300-checking-bonus/,"Maximum bonus amount: $300
Availability: LA, MS, FL, AL, & TX only. In branch only [Branch locator]
Direct deposit required: Yes, $250+
Additional requirements: None
Hard/soft pull: Soft
ChexSystems: No
Credit card funding: None
Monthly fees: $21
Early account termination fee: $20, 180 days
Household limit: One (this is enforced)
Expiration date: March 31st, 2020","Hancock Whitney Bank is offering a bonus of $300 when you open a Priority Checking account and complete the following requirements:
Receive a qualifying monthly direct deposit of at least $250 by 5/31/2020","Priority Checking account has a $21 monthly fee, this is waived if you do one of the following:$20 fee is charged for each account if the account is closed within 180 days.There was a previous $500 deal. That required the same account, normally the $300 bonuses only require the silver checking account that is easier to keep fee free. Because of that I wouldn’t recommend doing this bonus, either wait for the bigger bonus to return or wait for a $300 bonus that is easier to keep fee free.Useful posts regarding bank bonuses:"
12,Bar Harbor Bank & Trust $100 Checking Bonus,https://www.doctorofcredit.com/me-nh-in-branch-only-bar-harbor-bank-trust-100-checking-bonus/,"Maximum bonus amount: $100
Availability: In branch only, all branches are in ME & NH
Direct deposit required: Yes, $250+
Additional requirements: None
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: Unknown 
Monthly fees: None/avoidable
Early account termination fee: Unknown
Household limit: One
Expiration date: February 28th, 2019","Bar Harbor Bank & Trust is offering a $100 bonus when you open a new checking account and complete the following requirements:
Request a coupon, print it and bring it to your nearest branch to open an E-Choice or Simply checking account
Receive a direct deposit of at least $250 by April 30th, 2020","Simply Checking has no monthly fee to worry about.I wasn’t able to find a full fee schedule so I’m unsure if there is any early account termination fee or not.Not the strongest offer given it’s only for $100 and must be opened in branch, still might be worth doing for some people. Will add it to our list of the best bank bonuses due to the fact it’s a soft pull to open.Big thanks to reader, Jonathan H who let us know. Learn how to find bonuses and contribute to the site here.Useful posts regarding bank bonuses:"
13,Credit Union of Texas $250 Checking Bonus,https://www.doctorofcredit.com/tx-credit-union-texas-250-checking-bonus/,"Maximum bonus amount: $250
Availability: Have to open in branch and all branches are located in Texas. [Branch locator]
Direct deposit required: Yes, $600+ per month for six months
Additional requirements: None
Hard/soft pull: Hard pull
Credit card funding: Yes, unknown amount
Monthly fees: $6-$10, not waivable. 
Early account termination fee: Six months, bonus forfeit
Household limit: One
Expiration date: December 31st, 2016 2017","Receive a bonus of matching bonus of up to $250 when you open a new secure or secure PLUS checking account with Credit Union of Texas & receive a direct deposit of $600 or more per month. The matching bonus is based on your initial deposit, so make sure you deposit at least $250 to get the full bonus.","There is a $10 membership fee to join. You have to be a member to sign up for this bonus.You need to keep your account open and in good standing and continue to receive direct deposits of $600 per month for six months otherwise they will claw back the bonus.Only way to waive this fee is to be under 25 years of ageOnly way to waive this fee is to be a veteran.You’re going to end up paying at least $40 for this bonus ($10 to join and $30 in monthly fees), so really the bonus is for a bit less (especially if you take into account taxes). It’s impossible to know if it’s a good deal or not without knowing if it’s a hard or soft pull, so please share your knowledge in the comments. We haven’t added it to our list of the best bank promos because of this."
14,"BrightStar Credit Union  $100 Checking Promotion, No Direct Deposit Requirement",https://www.doctorofcredit.com/fl-only-brightstar-credit-union-bscu-100-checking-promotion-no-direct-deposit-requirement/,"Maximum bonus amount: $100
Availability: Must live, work or go to school in Broward OR Palm Beach Counties, Florida
Direct deposit required: No
Additional requirements: 4 transactions per 30 day period for 7 months. 
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: Unknown 
Monthly fees: None
Early account termination fee: Account must be kept open for at least 7 months to release the bonus
Household limit: None
Expiration date: None listed",Join BrightStar credit union and open a new checking account and receive a $100 bonus. You must complete a minimum of four transactions per 30 day period for seven months to unlock the bonus.,"Bright star offers a free checking account, which you can open as part of this promotion to avoid any monthly fees. You need to make sure you enroll in eStatements as part of this. If you close your account within 180 days you’ll be charged a $20 early account termination fee, although this doesn’t really matter as you need to keep the account open for at least seven months to get the bonus.This is not a bad bonus, especially considering it does not require a direct deposit. It should be pretty easy to rack up 4 check card transactions each month (you can view some easy suggestions here). The downside is that you obviously need to remember to do this for seven months and it’ll take awhile for the bonus to post. Final issue is that it looks like they do a manual review on the account. Do you think this should be added to our best bonus list? If so, let me know in the comments."
15,American Eagle Financial Credit Union $100 Checking Bonus,https://www.doctorofcredit.com/ct-american-eagle-financial-credit-union-100-checking-bonus-2/,"Maximum bonus amount: $100
Availability: In branch only, all branches are in CT [Branch locator]
Direct deposit required: Yes, $250+
Additional requirements: None
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: Unknown 
Monthly fees: None
Early account termination fee: $15, 180 days
Household limit: None
Expiration date:  October 15th – 19th, 2019","American Eagle Financial Credit Union is offering a bonus of $100 when you open a new checking account and complete the following requirements:
Receive a direct deposits totaling at least $250 within 60 days of account opening","This account has no monthly fees to worry aboutAccount needs to be kept open for 180 days otherwise a $15 fee will be charged.American Eagle offered a $150 bonus earlier in the year, this is obviously $50 less with the same requirements but seems to be available at all branches. They are also offering a 3% APY 5 month CD that might be useful to some readers.Hat tip to reader Brenden FUseful posts regarding bank bonuses:"
16,BBVA $200 Checking & $50 Savings Bonus & Nationwide,https://www.doctorofcredit.com/bbva-compass-200-checking-50-savings-bonus-nationwide-available-online-2/,"This links works for all states except TX, AZ, CA, CO, AL, FL, NM, AK
This links for TX, AZ, CA, CO, AL, FL, NM","Maximum bonus amount:  $200 checking + $50 savings
Availability: TX, AZ, CA, CO, AL, FL, NM Nationwide (other than 1 or 2, perhaps)
Direct deposit required: Yes, $500+
Additional requirements: See below
Hard/soft pull: Soft
ChexSystems: No
Credit card funding: $500 Visa only and personal cards only (you can also fund savings account for another $500)
Monthly fees: None
Early account termination fee: One year, bonus forfeit
Household limit: None
Expiration date: November 19th, 2019 February 28, 2020","If you live in AL, AZ, CA, CO, FL NM or TX then the best account to open is the BBVA Compass ClearChoice Free Checking as this has no monthly fees to worry about. Otherwise open the Clearconnect checking account which also has no monthly fees to worry about. There is a $3 fee on ClearConnect for paper statements, so make sure you opt for paperless statements.ClearChoice Saving: has a $15 quarterly fee if the balance falls below $500. ClearConnect Saving has no monthly fees.Account needs to be kept open for one year or bonus is forfeitPretty similar to the recent offer, but this time with no household restriction. This means your spouse should be able to do this deal even if you’ve done a previous deal. Very good bonus and we will be adding this to the best nationwide bank bonuses.Hat tip to reader Brian C"
17,HSBC $700 Checking Bonus ,https://www.doctorofcredit.com/hsbc-700-checking-bonus-direct-deposit-is-required/,"Maximum bonus amount: $700
Availability: Nationwide
Direct deposit required: Yes, you receive 2% of your direct deposit (maximum of $60 per month)
Additional requirements: None
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: None
Monthly fees: $25+, avoidable
Early account termination fee: $25, 180 days
Household limit: None
Expiration date: March 1st, 2020",HSBC is offering a bonus of up to $700. Must set up qualifying direct deposits and then you receive 2% cash back on qualifying direct deposits for the first 12 calendar months (up to $60 max per month),"This account has a $50 monthly fee, this fee is waived if you do any of the following:There is a $25 fee for closing the account within 180 days (Link). This fee does not apply to the Premier Checking account.Not as good as the $750 bonus that just required a direct deposit of $5,000+ for three months. To max this out you basically need to do a $3,000 direct deposit for 12 months. Personally I’d just wait for the bigger easier bonus to return. There is also a $350/$475 bonus that is also not worth doing. I won’t be adding this to our list of the best bank account bonuses.Useful posts regarding bank bonuses:"
18,North Shore Bank $300 Checking Bonus ,https://www.doctorofcredit.com/wi-il-only-north-shore-bank-300-checking-bonus-direct-deposit-optional/,"Maximum bonus amount: $300 ($20 per month)
Availability: Must live, work, attend school or have immediate family in Wisconsin or Northern Illinois. Looks like you need to live close to a branch, otherwise they will open the account and then e-mail you later saying it’s closed. Read comments for more details.
Direct deposit required: Optional
Additional requirements: 10 debit card transactions or a direct deposit
Hard/soft pull: Soft 
ChexSystems: Unknown
Credit card funding: None 
Monthly fees: $4.95+, waive-able
Early account termination fee: $40 if closed within 180 days of account opening
Household limit: One
Expiration date: March 31st, 2018 May 31st, 2018 July 31st, 2018 September 30th, 2018 November 7th, 2018 February 5th, 2019","North Shore Bank is offering a bonus of $300 when you open a new checking account with the promotional code “JAN2020 $300BONUS”. Bonus is broken down as follows:
You receive a monthly $20 bonus when you either have 10 qualified debit card transactions or a direct deposit for that statement credit. You can receive this bonus for 15 months, starting the March 2019 statement","Monthly fees are waived on all of their accounts for the first three months. If you close your account within 180 days of opening they will charge you an early account termination fee of $40.This is waived with debit card usage and eStatements or direct deposit (wages or social security) and eStatements.This is waived with an average balance of $750 or $2,500 in relationship balances or any loan or direct deposits or 10 debit card transactions.In the past they have offered bonuses of up to $150. That bonus didn’t have any bonus requirements, where as this bonus has requirements each month for 14 months. That being said this bonus is $300 vs $150 and meeting debit card transaction requirements shouldn’t be too difficult for most people. It’s nice that keeping the account fee free is also quite easy (having $750 on deposit). Personally I do think this $300 bonus is worth doing, because of that I will be adding it to the list of the best checking bonuses.Useful posts regarding bank bonuses:"
19,Seacoast Bank $350 Checking & $150 Savings Bonus,https://www.doctorofcredit.com/fl-in-branch-only-seacoast-bank-350-checking-150-savings-bonus/,"Maximum bonus amount: $500
Availability: In branch only, all branches are in FL [Branch locations]
Direct deposit required: Yes, $500+
Additional requirements: See below
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: Possibly up to $1,000, but likely to be a cash advance in branch
Monthly fees: $21, avoidable
Early account termination fee: $30, 90 days
Household limit: One
Expiration date: October 31st, 2019 December 31st, 2019 April 30th, 2020","Seacoast Bank is offering up to $500 in bonuses when you open new accounts. Bonuses and requirements are as follows:
$350 bonus when you open a new Premium checking account and:
Deposit $100 or more at account opening
Have a direct deposit of $500 or more within 60 days of account opening
$150 bonus when you open a new Seacoast Savings account and:
Deposit $15,000 or more in new money within 10 business days of account opening
Maintain a balance of $15,000 for 90 days from the date of deposit","Premium checking has a $21 monthly fee that is waived if you do any of the following:Savings account has a $15 fee charged per quarter, this is waived if you have a minimum daily balance of $500.According to the fee schedule there is an early account termination fee of $30 if the account is closed within 90 days of opening.I wasn’t able to determine what the rate offered for the savings account is, but I suspect it’s close to 0%. That being said, this bonus is still worth doing if you live near a branch, if you don’t have $15,000 in cash laying around then you can always just focus on the checking bonus and leave the smaller savings bonus alone. We will be adding this to our list of the best checking account bonuses.Hat tip to reader Craig J"
20,Incredible Bank $102 Checking Bonus ,https://www.doctorofcredit.com/incredible-bank-102-checking-bonus-available-nationwide/,"Maximum bonus amount: $102
Availability: Nationwide
Direct deposit required: Yes, two direct deposits of $300+
Additional requirements: See below
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: None
Monthly fees: None
Early account termination fee: None
Household limit: None
Expiration date: February 22nd, 2020","Incredible Bank is offering a bonus of $102 when you open a new checking account and complete the following requirements:
Use promo code Thanks
Establish at least two payroll direct deposits of $300 or more within 30 days of account opening
Download and use mobile app","Checking account has no monthly fee to worry about.There is a $10 fee if the account is closed within 90 days.Not as good as the recent $175 bonus with the same requirements that was recently offered. I’d recommend just waiting for a bigger offer to return, because of that I won’t be adding this to our list of the best checking bonuses.Useful posts regarding bank bonuses:"
21,Chase Checking $5 Autosave Bonus By Saving $30,https://www.doctorofcredit.com/chase-checking-5-autosave-bonus-by-saving-30/,Get a $5 reward when you save $30 or more in 30 days with Autosave.,"To qualify for the bonus, you must 1) Sign up for Autosave via this offer by 2/11/2020 AND 2) Be enrolled in Autosave by setting up a rule to save a minimum of $30 within 30 days of offer sign up.
After you have completed the above requirements, we’ll deposit the bonus into your account within 10 business days.
You can only receive one Autosave bonus in a 12 month period and only one bonus per account.
Bonus is considered miscellaneous income, and may be reportable to you and the IRS on Form 1099-MISC (or Form 1042-S, if applicable).",
22,"Marcus $100 Bonus for New & *Existing* Savings Customers with $10,000 Deposit ",https://www.doctorofcredit.com/marcus-100-bonus-for-new-existing-savings-customers-with-10000-deposit-1-70-apy/,"Max Bonus Amount: $100
Direct Deposit Required: No
Additional Requirements: $10,000 deposit (new funds)
Hard/Soft Pull: Soft pull
Credit Card Funding: None
Monthly Fees: None
Availability: Nationwide, new or existing users
Expiration Date: enroll by February 11, 2019 and fund within 10 days
Insured: FDIC","New or existing Marcus by Goldman Sachs customers can enroll to be eligible for $100 bonus when depositing $10,000 in new funds within 10 days of enrollment and maintaining those funds plus your current balance for 60 days. You must enroll first.",
23,Bank Of The West $250 Checking Bonus ,https://www.doctorofcredit.com/bank-of-the-west-250-checking-bonus-az-ca-co-id-ia-ks-mn-mo-ne-nv-nm-nd-ok-or-sd-ut-wa-wi-wy/,"Maximum bonus amount: $250
Availability: AZ, CA, CO, ID, IA, KS, MN, MO, NE, NV, NM, ND, OK, OR, SD, UT, WA, WI, WY
Direct deposit required: Yes, direct deposits totaling $1,000 or more for the first three months
Additional requirements: None
Hard/soft pull:  Soft
ChexSystems: Yes (inquiry sensitive)
Credit card funding: $500 max, Visa/MC only. Recent data points show it coding as a cash advance
Monthly fees:  $10, avoidable
Early account termination fee: $25, 91 days
Household limit: One per mailing address
Expiration date: August 2nd, 2019 September 13th, 2019 December 6th, 2019 2/28/20","Bank of the West is offering a bonus of $250 when you open a new any deposit checking account and complete the following requirements:
Make direct deposits totaling $1,000 or more for the first three months","The any deposit checking account has a $10 monthly fee. This is waived if you qualify for one of the following:They also charge a $3 paper statement fee, so make sure you have paperless statements set up.There is an early account termination fee of $25 if your account is closed within 91 days of account opening.Last bonus they offered was also for $250, but didn’t have a direct deposit requirement. That bonus was a lot better because of that, but if you can easily do a direct deposit then this bonus is still worth considering. If not I’d just wait for the better bonus to come along. I’ll still add this to our best bank bonus page, but it won’t be as high on the list as it normally would be.Hat tip to reader JUN & Kyle"
24,CIT Bank $100/$200 Savings Bonus + 1.8% APY & Existing Customers ,https://www.doctorofcredit.com/cit-bank-100-200-savings-bonus-1-8-apy-new-existing-customers-25000-50000-deposit-required-for-90-days/,"Maximum bonus amount: $200
Availability: Nationwide
APY: 1.85% with a deposit of $25,000+
Additional requirements: Use promo code
Hard/soft pull: Soft
ChexSystems: Yes 
Credit card funding: None
Monthly fees: None
Early account termination fee: None
Household limit: None
Expiration date: April 30th, 2020","CIT Bank is offering a bonus of up to $200.  Works for new & existing users. You need to reach a certain deposit requirement and maintain that balance for 90 days for new users and 30 days for existing users. New users must use promo code Bonus20 and existing users need to increase their balance by the deposit requirements with new money (e.g transferring out and then in won’t work).
Receive a bonus of $100 when you deposit $25,000 to $49,999
Receive a bonus of $200 when you deposit $50,000 or more","This account has no monthly fees to worry aboutAs far as I’m aware there is no early account termination fee.Account earns 1.80% APY as long as you have $25,000+ in the account and deposit $100, otherwise it will earn 1.17%. If you deposit exactly:For new users. Obviously the deal is even better for existing users as you only need to tie up the funds for 30 days instead of 90 days. It’s not as good as the recent $150/$300 deal they just had though. Keep in mind existing customers can’t do this deal if they have already done the previous deal so it might make sense to wait for the bigger bonus to return – but there are no guarantees that will be the case. I will add this to our best bank bonus page.Hat tip to reader nik & Charles mann"
25,People’s United Bank $100 Checking Bonus & Shop’s ,https://www.doctorofcredit.com/peoples-united-bank-100-checking-bonus-inside-stop-shops-direct-deposit-not-required-ny-ct-nh-and-vt-only/,"Maximum bonus amount: $100
Availability: People’s United branches inside Stop & Shop’s, located in the following states: NY & CT only
Direct deposit required: Yes, $1,000+ for 90 continuous days
Additional requirements: None
Hard/soft pull: Soft pull
Credit card funding: Unknown (although you usually can’t do that in branch anyway)
Monthly fees: $12, avoidable
Early account termination fee: 6 months, bonus forfeit
Expiration date: August 25th, 2017 March 29th, 2019 August 24th, 2019 November 1st, 2019 March 31st, 2020","Open a personal checking account with People’s United Bank & receive a $100 bonus, this is only available at their Stop & Shop in store locations. Mention promo code WINTER20
Receive direct deposits of at least $1,000 per month into the new checking account for 90 continuous days","There is a $12 monthly fee. This is waived with an average minimum daily balance of at least $1,000.If the account is closed within 6 months the bonus will be forfeit.Not a bad deal if you live in the area as it’s a soft pull, although direct deposit is now required. It used to be better when you could just use the debit card ten times.  I’m adding this to our list of the best checking sign up bonuses. "
